URLs,Subdirectories
https://leetcode.com/contest/warm-up-contest/,"['https:', '', 'leetcode.com', 'contest', 'warm-up-contest', '']"
https://leetcode.com/contest/leetcode-weekly-contest-2/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-2', '']"
https://leetcode.com/contest/leetcode-weekly-contest-3/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-3', '']"
https://leetcode.com/contest/leetcode-weekly-contest-4/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-4', '']"
https://leetcode.com/contest/leetcode-weekly-contest-5/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-5', '']"
https://leetcode.com/contest/leetcode-weekly-contest-6/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-6', '']"
https://leetcode.com/contest/leetcode-weekly-contest-7/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-7', '']"
https://leetcode.com/contest/leetcode-weekly-contest-8/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-8', '']"
https://leetcode.com/contest/leetcode-weekly-contest-9/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-9', '']"
https://leetcode.com/contest/smarking-algorithm-contest/,"['https:', '', 'leetcode.com', 'contest', 'smarking-algorithm-contest', '']"
https://leetcode.com/contest/smarking-algorithm-contest-2/,"['https:', '', 'leetcode.com', 'contest', 'smarking-algorithm-contest-2', '']"
https://leetcode.com/contest/smarking-algorithm-contest-3/,"['https:', '', 'leetcode.com', 'contest', 'smarking-algorithm-contest-3', '']"
https://leetcode.com/contest/smarking-algorithm-contest-4/,"['https:', '', 'leetcode.com', 'contest', 'smarking-algorithm-contest-4', '']"
https://leetcode.com/contest/leetcode-weekly-contest-10/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-10', '']"
https://leetcode.com/contest/leetcode-weekly-contest-11/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-11', '']"
https://leetcode.com/contest/leetcode-weekly-contest-12/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-12', '']"
https://leetcode.com/contest/leetcode-weekly-contest-13/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-13', '']"
https://leetcode.com/contest/leetcode-weekly-contest-14/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-14', '']"
https://leetcode.com/contest/leetcode-weekly-contest-15/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-15', '']"
https://leetcode.com/contest/leetcode-weekly-contest-16a/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-16a', '']"
https://leetcode.com/contest/leetcode-weekly-contest-16b/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-16b', '']"
https://leetcode.com/contest/leetcode-weekly-contest-17/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-17', '']"
https://leetcode.com/contest/leetcode-weekly-contest-18a/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-18a', '']"
https://leetcode.com/contest/leetcode-weekly-contest-18b/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-18b', '']"
https://leetcode.com/contest/leetcode-weekly-contest-19/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-19', '']"
https://leetcode.com/contest/leetcode-weekly-contest-20/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-20', '']"
https://leetcode.com/contest/leetcode-weekly-contest-21/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-21', '']"
https://leetcode.com/contest/leetcode-weekly-contest-22/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-22', '']"
https://leetcode.com/contest/leetcode-weekly-contest-23/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-23', '']"
https://leetcode.com/contest/leetcode-weekly-contest-24/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-24', '']"
https://leetcode.com/contest/leetcode-weekly-contest-25/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-25', '']"
https://leetcode.com/contest/leetcode-weekly-contest-26/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-26', '']"
https://leetcode.com/contest/leetcode-weekly-contest-27/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-27', '']"
https://leetcode.com/contest/leetcode-weekly-contest-28/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-28', '']"
https://leetcode.com/contest/leetcode-weekly-contest-29/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-29', '']"
https://leetcode.com/contest/leetcode-weekly-contest-30/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-30', '']"
https://leetcode.com/contest/leetcode-weekly-contest-31/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-31', '']"
https://leetcode.com/contest/leetcode-weekly-contest-32/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-32', '']"
https://leetcode.com/contest/leetcode-weekly-contest-33/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-33', '']"
https://leetcode.com/contest/leetcode-weekly-contest-34/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-34', '']"
https://leetcode.com/contest/leetcode-weekly-contest-35/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-35', '']"
https://leetcode.com/contest/leetcode-weekly-contest-36/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-36', '']"
https://leetcode.com/contest/leetcode-weekly-contest-37/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-37', '']"
https://leetcode.com/contest/leetcode-weekly-contest-38/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-38', '']"
https://leetcode.com/contest/leetcode-weekly-contest-39/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-39', '']"
https://leetcode.com/contest/leetcode-weekly-contest-40/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-40', '']"
https://leetcode.com/contest/leetcode-weekly-contest-41/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-41', '']"
https://leetcode.com/contest/leetcode-weekly-contest-42/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-42', '']"
https://leetcode.com/contest/leetcode-weekly-contest-43/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-43', '']"
https://leetcode.com/contest/leetcode-weekly-contest-44/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-44', '']"
https://leetcode.com/contest/leetcode-weekly-contest-45/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-45', '']"
https://leetcode.com/contest/leetcode-weekly-contest-46/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-46', '']"
https://leetcode.com/contest/leetcode-weekly-contest-47/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-47', '']"
https://leetcode.com/contest/leetcode-weekly-contest-48/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-48', '']"
https://leetcode.com/contest/leetcode-weekly-contest-49/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-49', '']"
https://leetcode.com/contest/leetcode-weekly-contest-50/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-50', '']"
https://leetcode.com/contest/leetcode-weekly-contest-51/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-51', '']"
https://leetcode.com/contest/leetcode-weekly-contest-52/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-52', '']"
https://leetcode.com/contest/leetcode-weekly-contest-53/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-53', '']"
https://leetcode.com/contest/leetcode-weekly-contest-54/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-54', '']"
https://leetcode.com/contest/leetcode-weekly-contest-55/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-55', '']"
https://leetcode.com/contest/leetcode-weekly-contest-56/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-56', '']"
https://leetcode.com/contest/leetcode-weekly-contest-57/,"['https:', '', 'leetcode.com', 'contest', 'leetcode-weekly-contest-57', '']"
https://leetcode.com/contest/weekly-contest-58/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-58', '']"
https://leetcode.com/contest/weekly-contest-59/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-59', '']"
https://leetcode.com/contest/weekly-contest-60/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-60', '']"
https://leetcode.com/contest/weekly-contest-61/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-61', '']"
https://leetcode.com/contest/weekly-contest-by-app-academy/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-by-app-academy', '']"
https://leetcode.com/contest/weekly-contest-63/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-63', '']"
https://leetcode.com/contest/weekly-contest-64/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-64', '']"
https://leetcode.com/contest/weekly-contest-65/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-65', '']"
https://leetcode.com/contest/weekly-contest-66/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-66', '']"
https://leetcode.com/contest/weekly-contest-67/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-67', '']"
https://leetcode.com/contest/weekly-contest-68/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-68', '']"
https://leetcode.com/contest/weekly-contest-69/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-69', '']"
https://leetcode.com/contest/weekly-contest-70/,"['https:', '', 'leetcode.com', 'contest', 'weekly-contest-70', '']"
